USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           802     2          0      0 0                   0 I [kverityd]
root           803     2          0      0 0                   0 I [ext4-rsv-conver]
root           804     2          0      0 0                   0 I [ext4-rsv-conver]
root           805     2          0      0 0                   0 I [kverityd]
root           806     2          0      0 0                   0 I [ext4-rsv-conver]
root           807     2          0      0 0                   0 I [ext4-rsv-conver]
root           808     2          0      0 0                   0 I [ext4-rsv-conver]
root           832     1   10932952   1684 0                   0 S sscoredump
root           834     1   11312336   3572 0                   0 S netd
statsd         836     1   11085348  24868 0                   0 S statsd
root           837     1   15144108  92000 0                   0 S zygote64
system         860     1   11520152   4016 0                   0 S vendor.google.edgetpu_app_service@1.0-service
audioserver    861     1   10812204   2276 0                   0 S vendor.google.whitechapel.audio.hal.parserservice
audioserver    868     1   11802388   5916 0                   0 S android.hardware.audio.service-aidl.aoc
hsm            869     1   11032432   1764 0                   0 S android.hardware.authsecret-service.citadel
bluetooth      870     1   11032300   1744 0                   0 S android.hardware.bluetooth-service.bcmbtlinux
system         871     1   13053236   7884 0                   0 S android.hardware.camera.provider@2.7-service-google
context_hub    872     1   11011592   3504 0                   0 S android.hardware.contexthub-service.generic
media          873     1   10784348   2572 0                   0 S android.hardware.drm-service.clearkey
system         874     1   10964512   2632 0                   0 S android.hardware.dumpstate-service
system         875     1   10825140   2444 0                   0 S android.hardware.gatekeeper-service.trusty
system         876     1   10898680   3052 0                   0 S android.hardware.health-service.zumapro
system         879     1   11165664   1624 0                   0 S android.hardware.neuralnetworks@service-darwinn-aidl
hsm            880     1   11143504   2220 0                   0 S android.hardware.oemlock-service.citadel
system         881     1   10898048   3252 0                   0 S android.hardware.power.stats-service.pixel
secure_element 882     1   10878456   2564 0                   0 S android.hardware.secure_element-service.uicc
secure_element 883     1   10886572   2604 0                   0 S android.hardware.secure_element-service.uicc
secure_element 884     1   10835396   2568 0                   0 S android.hardware.secure_element-service.thales
nobody         885     1   10836788   2412 0                   0 S android.hardware.security.secretkeeper.trusty
system         886     1   11084200   1400 0                   0 S android.hardware.sensors-service.multihal
system         887     1   11036584   1296 0                   0 S android.hardware.usb-service
system         888     1   10828024   2640 0                   0 S android.hardware.usb.gadget-service
hsm            889     1   11118108   2188 0                   0 S android.hardware.weaver-service.citadel
mediacodec     892     1   11482684   3536 0                   0 S google.hardware.media.c2@2.0-service
